name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Dog Park 1149754246,48.2124445,16.1739413,AT,Austria,1149754246,way,OpenStreetMap
Dog Park 1152498216,47.5182762,15.4704023,AT,Austria,1152498216,way,OpenStreetMap
Dog Park 1152498228,47.5184851,15.4677281,AT,Austria,1152498228,way,OpenStreetMap
Dog Park 11527634722,47.3053209,12.8140697,AT,Austria,11527634722,node,OpenStreetMap
Dog Park 1156166740,47.545186,15.5066006,AT,Austria,1156166740,way,OpenStreetMap
Dog Park 1159462325,48.2156882,15.6330208,AT,Austria,1159462325,way,OpenStreetMap
Dog Park 116187613,48.2132566,16.4768856,AT,Austria,116187613,way,OpenStreetMap
Dog Park 1164871582,48.0051263,16.297125,AT,Austria,1164871582,way,OpenStreetMap
Dog Park 1171744063,48.1678648,16.3839987,AT,Austria,1171744063,way,OpenStreetMap
Dog Park 1180671240,48.2286974,16.5107542,AT,Austria,1180671240,way,OpenStreetMap
Dog Park 1180978172,48.2543983,16.4437564,AT,Austria,1180978172,way,OpenStreetMap
Dog Park 1185472685,48.1814835,16.3556691,AT,Austria,1185472685,way,OpenStreetMap
Dog Park 1186186854,48.239894,16.3823724,AT,Austria,1186186854,way,OpenStreetMap
Dog Park 1187792810,47.3106993,9.6177163,AT,Austria,1187792810,way,OpenStreetMap
Dog Park 1188344041,48.2439433,16.3735368,AT,Austria,1188344041,way,OpenStreetMap
Dog Park 1189698091,48.248699,16.3781816,AT,Austria,1189698091,way,OpenStreetMap
Dog Park 1192108142,47.4369454,13.5216196,AT,Austria,1192108142,way,OpenStreetMap
Dog Park 1194072452,48.2323202,16.3624757,AT,Austria,1194072452,way,OpenStreetMap
Dog Park 1204253667,48.2732669,16.3942343,AT,Austria,1204253667,way,OpenStreetMap
Dog Park 120470606,48.2123866,16.3511526,AT,Austria,120470606,way,OpenStreetMap
Dog Park 1204720213,48.2101925,16.408819,AT,Austria,1204720213,way,OpenStreetMap
Dog Park 12050798069,48.1174462,16.3463994,AT,Austria,12050798069,node,OpenStreetMap
Dog Park 1208321342,48.2304096,16.3890743,AT,Austria,1208321342,way,OpenStreetMap
Dog Park 1214072895,48.2745029,16.4056281,AT,Austria,1214072895,way,OpenStreetMap
Dog Park 1216822555,48.1949626,16.2854401,AT,Austria,1216822555,way,OpenStreetMap
Dog Park 1220057173,48.241184,16.4422265,AT,Austria,1220057173,way,OpenStreetMap
Dog Park 1221356311,48.2317688,16.449756,AT,Austria,1221356311,way,OpenStreetMap
Dog Park 1227529363,48.0537756,16.3046422,AT,Austria,1227529363,way,OpenStreetMap
Dog Park 122941000,48.2215372,16.3539175,AT,Austria,122941000,way,OpenStreetMap
Dog Park 1238142354,47.9718225,13.7973482,AT,Austria,1238142354,way,OpenStreetMap
Dog Park 124462761,47.216221,11.4174196,AT,Austria,124462761,way,OpenStreetMap
Dog Park 1256041524,48.1912457,16.4054324,AT,Austria,1256041524,way,OpenStreetMap
Dog Park 1256044188,48.2960087,16.4227297,AT,Austria,1256044188,way,OpenStreetMap
Dog Park 1256625834,48.1949226,15.3838931,AT,Austria,1256625834,way,OpenStreetMap
Dog Park 126583097,48.2061872,16.3616389,AT,Austria,126583097,way,OpenStreetMap
Dog Park 1268120511,47.5861453,12.1810704,AT,Austria,1268120511,way,OpenStreetMap
Dog Park 1278599326,46.6169946,14.2544071,AT,Austria,1278599326,way,OpenStreetMap
Dog Park 1290406999,48.0286775,16.7948169,AT,Austria,1290406999,way,OpenStreetMap
Dog Park 1290607439,48.2004151,16.3823417,AT,Austria,1290607439,way,OpenStreetMap
Dog Park 1291517972,48.0222041,16.7808543,AT,Austria,1291517972,way,OpenStreetMap
Dog Park 1293439254,48.184282,15.0765035,AT,Austria,1293439254,way,OpenStreetMap
Dog Park 1295396700,47.9891529,16.5071952,AT,Austria,1295396700,way,OpenStreetMap
Dog Park 129709025,48.8600992,15.1302562,AT,Austria,129709025,way,OpenStreetMap
Dog Park 1297408566,48.171345,16.396707,AT,Austria,1297408566,way,OpenStreetMap
Dog Park 130735403,47.2804144,16.0036998,AT,Austria,130735403,way,OpenStreetMap
Dog Park 13088958201,48.2311329,16.2564437,AT,Austria,13088958201,node,OpenStreetMap
Dog Park 131491227,47.0388935,15.4710439,AT,Austria,131491227,way,OpenStreetMap
Dog Park 1315891339,46.6825424,13.9986473,AT,Austria,1315891339,way,OpenStreetMap
Dog Park 1324342459,46.6649285,13.0255573,AT,Austria,1324342459,way,OpenStreetMap
Dog Park 1327640677,48.2582762,16.4429667,AT,Austria,1327640677,way,OpenStreetMap
Dog Park 1332452551,48.1048977,16.2984801,AT,Austria,1332452551,way,OpenStreetMap
Dog Park 133538334,48.1961957,16.3017862,AT,Austria,133538334,way,OpenStreetMap
Dog Park 1363131932,48.3087316,16.3286128,AT,Austria,1363131932,way,OpenStreetMap
Dog Park 1364088772,48.0492608,16.5097229,AT,Austria,1364088772,way,OpenStreetMap
Dog Park 136447724,48.1631411,16.3257335,AT,Austria,136447724,way,OpenStreetMap
Dog Park 1365391111,48.179825,16.3871159,AT,Austria,1365391111,way,OpenStreetMap
Dog Park 1368620811,48.2215435,14.1977855,AT,Austria,1368620811,way,OpenStreetMap
Dog Park 1370103203,48.15215,16.3451827,AT,Austria,1370103203,way,OpenStreetMap
Dog Park 1377476409,47.0955892,15.7032132,AT,Austria,1377476409,way,OpenStreetMap
Dog Park 1381702907,47.9504943,16.7932617,AT,Austria,1381702907,way,OpenStreetMap
Dog Park 140592589,48.1396541,16.2781922,AT,Austria,140592589,way,OpenStreetMap
Dog Park 140743158,48.1368256,16.2765004,AT,Austria,140743158,way,OpenStreetMap
Dog Park 1414409502,48.2436483,16.4885498,AT,Austria,1414409502,way,OpenStreetMap
Dog Park 1417696169,48.1573888,16.1252878,AT,Austria,1417696169,way,OpenStreetMap
Dog Park 1422531165,47.2403006,11.2938789,AT,Austria,1422531165,way,OpenStreetMap
Dog Park 142788702,48.1865784,14.258739,AT,Austria,142788702,way,OpenStreetMap
Dog Park 1431969371,48.1727508,16.2897769,AT,Austria,1431969371,way,OpenStreetMap
Dog Park 144105811,47.0738302,15.4262281,AT,Austria,144105811,way,OpenStreetMap
Dog Park 144778888,48.1889302,16.3394615,AT,Austria,144778888,way,OpenStreetMap
Dog Park 1460152595,48.1880148,16.3634838,AT,Austria,1460152595,way,OpenStreetMap
Dog Park 1460152596,48.1881523,16.3557822,AT,Austria,1460152596,way,OpenStreetMap
Dog Park 1460152814,48.1948439,16.3545485,AT,Austria,1460152814,way,OpenStreetMap
Dog Park 1462638812,46.8161874,15.2214573,AT,Austria,1462638812,way,OpenStreetMap
Dog Park 146451265,48.2226282,16.3113468,AT,Austria,146451265,way,OpenStreetMap
Dog Park 1467587397,48.1458773,16.2525561,AT,Austria,1467587397,way,OpenStreetMap
