name,latitude,longitude,country_code,country_name,osm_id,osm_type,data_source
Taringa Dog Park,-27.4919338,152.992302,AU,Australia,47174902,way,OpenStreetMap
Dog Park,-35.1675496,149.1441842,AU,Australia,50601371,way,OpenStreetMap
Dog Park 52882106,-27.3572351,153.0735413,AU,Australia,52882106,way,OpenStreetMap
Dog Park 52882107,-27.3577949,153.0734103,AU,Australia,52882107,way,OpenStreetMap
Dog Park 53744423,-27.3869014,152.9572977,AU,Australia,53744423,way,OpenStreetMap
Dog Park 54356290,-27.3069369,152.987774,AU,Australia,54356290,way,OpenStreetMap
Farm Road Reserve,-37.9646265,145.0766322,AU,Australia,58885559,way,OpenStreetMap
Dog Park 60340183,-34.9809893,138.623258,AU,Australia,60340183,way,OpenStreetMap
Dog Park 60433864,-27.5681912,153.0914712,AU,Australia,60433864,way,OpenStreetMap
Dog Park 64149218,-27.5886695,153.131038,AU,Australia,64149218,way,OpenStreetMap
Dog Park 64369956,-27.6059322,152.7974972,AU,Australia,64369956,way,OpenStreetMap
Dog Park 67602846,-27.6019734,153.1153091,AU,Australia,67602846,way,OpenStreetMap
Dog Park 69025527,-27.5446583,153.0895006,AU,Australia,69025527,way,OpenStreetMap
Dog Park 70953915,-27.6020888,153.0904273,AU,Australia,70953915,way,OpenStreetMap
Conyngham Street Dog Park,-34.9446354,138.6334064,AU,Australia,70980738,way,OpenStreetMap
Dog Park 72997578,-33.9594245,151.1327609,AU,Australia,72997578,way,OpenStreetMap
Dog Park 81056362,-27.7040632,153.2185798,AU,Australia,81056362,way,OpenStreetMap
Dog Park 83348892,-27.597678,152.9785213,AU,Australia,83348892,way,OpenStreetMap
Dog Park 87348778,-27.5157435,153.2218774,AU,Australia,87348778,way,OpenStreetMap
Kings Road / Robertson Road Power Easement,-37.6943107,144.786041,AU,Australia,89378424,way,OpenStreetMap
Kokoda Park,-37.2800402,142.939741,AU,Australia,92026626,way,OpenStreetMap
Dog Park 93310185,-27.6026081,153.0629927,AU,Australia,93310185,way,OpenStreetMap
Dog Park 94865848,-27.6364138,153.2478094,AU,Australia,94865848,way,OpenStreetMap
Dog Park 95606084,-27.699949,153.1869254,AU,Australia,95606084,way,OpenStreetMap
Dog Park 95606087,-27.7001532,153.1867006,AU,Australia,95606087,way,OpenStreetMap
Dog Park 95798984,-27.6739518,153.1524134,AU,Australia,95798984,way,OpenStreetMap
Dog Park 95799012,-27.6736932,153.1520288,AU,Australia,95799012,way,OpenStreetMap
Dog Park 96914617,-27.6858519,153.1294641,AU,Australia,96914617,way,OpenStreetMap
Dog Park 96914623,-27.6859475,153.1297525,AU,Australia,96914623,way,OpenStreetMap
Dog Park 96932990,-27.6716761,153.1289289,AU,Australia,96932990,way,OpenStreetMap
Dog Park 97200089,-27.6816554,153.142423,AU,Australia,97200089,way,OpenStreetMap
Dog Park 97358611,-27.6421855,153.1295083,AU,Australia,97358611,way,OpenStreetMap
Dog Park 105453341,-27.6624814,153.0574883,AU,Australia,105453341,way,OpenStreetMap
Off leash area,-41.429638,147.1028912,AU,Australia,107533870,way,OpenStreetMap
Dog Park 107938674,-35.0249551,138.5284553,AU,Australia,107938674,way,OpenStreetMap
Whites Hill Reserve Dog Off Leash Area,-27.5146563,153.0741418,AU,Australia,115086677,way,OpenStreetMap
Dog Park 115829816,-27.6800258,153.0183889,AU,Australia,115829816,way,OpenStreetMap
Dog Park 115844883,-27.6827831,153.0233376,AU,Australia,115844883,way,OpenStreetMap
Dog Park 117460765,-27.606563,153.1074172,AU,Australia,117460765,way,OpenStreetMap
Dog Park 117470783,-27.6146404,153.1127923,AU,Australia,117470783,way,OpenStreetMap
Dog Park 118564614,-27.522457,153.1848782,AU,Australia,118564614,way,OpenStreetMap
Dog Park 118691278,-27.5157817,153.2107176,AU,Australia,118691278,way,OpenStreetMap
Dog Park 119137754,-27.6685453,153.0487463,AU,Australia,119137754,way,OpenStreetMap
Dog Park 119977737,-27.2142479,153.005324,AU,Australia,119977737,way,OpenStreetMap
Dog Park 120905572,-27.6863199,153.0515835,AU,Australia,120905572,way,OpenStreetMap
Dog Park 121651923,-27.696875,153.1134831,AU,Australia,121651923,way,OpenStreetMap
Dog Park 122387461,-27.4982561,153.1095163,AU,Australia,122387461,way,OpenStreetMap
Dog Park 123894348,-33.7642346,151.1311285,AU,Australia,123894348,way,OpenStreetMap
Dog Park 124163132,-27.6705804,153.0979904,AU,Australia,124163132,way,OpenStreetMap
Dog Park 125718780,-27.4737128,153.0273843,AU,Australia,125718780,way,OpenStreetMap
Dog Park 126615759,-27.6763821,153.1134556,AU,Australia,126615759,way,OpenStreetMap
Dog Park 126758700,-27.6648707,153.1077671,AU,Australia,126758700,way,OpenStreetMap
CE Brown Reserve Fenced Dog Park,-37.5364512,143.8415997,AU,Australia,127926239,way,OpenStreetMap
Dog Park 132191754,-27.619043,152.9718115,AU,Australia,132191754,way,OpenStreetMap
Dog Park 133341440,-32.168447,152.5036109,AU,Australia,133341440,way,OpenStreetMap
Dog Park 133341724,-27.5514201,153.2800152,AU,Australia,133341724,way,OpenStreetMap
Dog Park 134868958,-27.5507438,153.2592805,AU,Australia,134868958,way,OpenStreetMap
Dog Park 134984825,-41.4115154,147.1428743,AU,Australia,134984825,way,OpenStreetMap
Dog Park 139952757,-27.5999307,152.9591189,AU,Australia,139952757,way,OpenStreetMap
Dog Park 140809233,-27.4740362,153.0793221,AU,Australia,140809233,way,OpenStreetMap
Clarendon Dog Park,-38.2335054,145.1598025,AU,Australia,142094017,way,OpenStreetMap
Dog Park 145396894,-27.6905111,153.0914697,AU,Australia,145396894,way,OpenStreetMap
The Scar Dogpark,-35.3673615,149.2177289,AU,Australia,145398506,way,OpenStreetMap
Jack Marks Reserve,-31.9408405,115.873971,AU,Australia,147112657,way,OpenStreetMap
Berwick Dog Obedience Club,-37.9906752,145.3068724,AU,Australia,167940955,way,OpenStreetMap
Firmstone Reserve,-33.9370921,151.2283514,AU,Australia,172845320,way,OpenStreetMap
Ngampa Yerta,-34.9002283,138.600222,AU,Australia,174294972,way,OpenStreetMap
Ngampa Yerta,-34.8997713,138.5991969,AU,Australia,174294975,way,OpenStreetMap
Bede Spillane Gardens,-33.8771034,151.1218824,AU,Australia,174710387,way,OpenStreetMap
Dog Park 176021282,-34.8138552,138.6400192,AU,Australia,176021282,way,OpenStreetMap
Dog area,-38.2517156,145.042664,AU,Australia,177612039,way,OpenStreetMap
Derring Lane Reserve,-37.9720423,145.076258,AU,Australia,179425352,way,OpenStreetMap
