country_code,country_name,country_name_full,region,continent,n_parks,parks_per_100k,park_density_score,estimated_population,n_nodes,n_ways,avg_lat,avg_lon,population,global_rank,global_percentile,tier,dog_park_access_score,development_level,analysis_year,last_updated,cluster,peer_1,peer_1_parks,peer_2,peer_2_parks,peer_3,peer_3_parks,parks_per_100k_display,global_rank_display,global_percentile_display,popup_text
BY,Belarus,Belarus,Europe & Central Asia,Europe,133,1.4412546240704043,16.292839446242397,9228071,22,111,53.52480497293233,27.048987780451128,9228071,32,67.70833333333334,Low Tier,16.292839446242397,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Switzerland,1.458,Portugal,1.572,Bulgaria,1.392,1.44,32,67.7,<b>Belarus</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 133<br/>Parks per 100k: 1.44<br/>Global Rank: 32 / 96<br/>Percentile: 67.7%<br/>Tier: Low Tier
BG,Bulgaria,Bulgaria,Europe & Central Asia,Europe,90,1.3920904821690998,15.736829627140228,6465097,15,75,42.595412914444445,24.837772342222223,6465097,33,66.66666666666666,Low Tier,15.736829627140228,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Switzerland,1.458,Belarus,1.441,Norway,1.741,1.39,33,66.7,<b>Bulgaria</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 90<br/>Parks per 100k: 1.39<br/>Global Rank: 33 / 96<br/>Percentile: 66.7%<br/>Tier: Low Tier
CY,Cyprus,Cyprus,Europe & Central Asia,Asia,18,1.3519908064625161,15.283332167946668,1331370,14,4,34.911546977777775,33.20273775555555,1331370,34,65.625,Low Tier,15.283332167946668,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Latvia,1.649,Malta,1.13,Lithuania,2.331,1.35,34,65.6,<b>Cyprus</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 18<br/>Parks per 100k: 1.35<br/>Global Rank: 34 / 96<br/>Percentile: 65.6%<br/>Tier: Low Tier
MT,Malta,Malta,Middle East & North Africa,Europe,6,1.129703095198197,12.76942375118184,531113,0,6,35.878805783333334,14.4678933,531113,35,64.58333333333334,Low Tier,12.76942375118184,Low Income,2023,2026-04-19,Transitioning (Low-Moderate),Cyprus,1.352,Montenegro,0.321,Latvia,1.649,1.13,35,64.6,<b>Malta</b><br/>Region: Middle East & North Africa<br/>Dog Parks: 6<br/>Parks per 100k: 1.13<br/>Global Rank: 35 / 96<br/>Percentile: 64.6%<br/>Tier: Low Tier
RS,Serbia,Serbia,Europe & Central Asia,Europe,48,0.720239587698848,8.138696519316694,6664449,1,47,44.95026370208333,20.318661779166668,6664449,36,63.541666666666664,Low Tier,8.138696519316694,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Ireland,0.652,Costa Rica,0.689,Singapore,0.568,0.72,36,63.5,<b>Serbia</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 48<br/>Parks per 100k: 0.72<br/>Global Rank: 36 / 96<br/>Percentile: 63.5%<br/>Tier: Low Tier
CR,Costa Rica,Costa Rica,Latin America & Caribbean,Americas,35,0.6887370824900404,7.782426653820485,5081765,9,26,9.933062634285715,-84.08874417428572,5081765,37,62.5,Low Tier,7.782426653820485,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Ireland,0.652,Singapore,0.568,Serbia,0.72,0.69,37,62.5,<b>Costa Rica</b><br/>Region: Latin America & Caribbean<br/>Dog Parks: 35<br/>Parks per 100k: 0.69<br/>Global Rank: 37 / 96<br/>Percentile: 62.5%<br/>Tier: Low Tier
IE,Ireland,Ireland,Europe & Central Asia,Europe,34,0.6522361340352929,7.369628118902023,5212836,3,31,53.099974761764706,-6.739919982352941,5212836,38,61.458333333333336,Low Tier,7.369628118902023,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Costa Rica,0.689,Singapore,0.568,Serbia,0.72,0.65,38,61.5,<b>Ireland</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 34<br/>Parks per 100k: 0.65<br/>Global Rank: 38 / 96<br/>Percentile: 61.5%<br/>Tier: Low Tier
RO,Romania,Romania,Europe & Central Asia,Europe,112,0.5879727445234276,6.642857057808076,19048502,13,99,45.28044986607143,24.84141675892857,19048502,39,60.416666666666664,Low Tier,6.642857057808076,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Greece,0.431,Ukraine,0.48,Chile,0.199,0.59,39,60.4,<b>Romania</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 112<br/>Parks per 100k: 0.59<br/>Global Rank: 39 / 96<br/>Percentile: 60.4%<br/>Tier: Low Tier
SG,Singapore,Singapore,East Asia & Pacific,Asia,32,0.567675627308178,6.413311782843212,5637022,4,28,1.336274625,103.855026390625,5637022,40,59.375,Low Tier,6.413311782843212,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Ireland,0.652,Costa Rica,0.689,Serbia,0.72,0.57,40,59.4,<b>Singapore</b><br/>Region: East Asia & Pacific<br/>Dog Parks: 32<br/>Parks per 100k: 0.57<br/>Global Rank: 40 / 96<br/>Percentile: 59.4%<br/>Tier: Low Tier
UA,Ukraine,Ukraine,Europe & Central Asia,Europe,197,0.47991698459339804,5.4208269112786756,41048766,27,170,49.438999877664976,31.954137786294417,41048766,41,58.333333333333336,Low Tier,5.4208269112786756,High Income,2023,2026-04-19,Transitioning (Low-Moderate),Romania,0.588,Chile,0.199,Greece,0.431,0.48,41,58.3,<b>Ukraine</b><br/>Region: Europe & Central Asia<br/>Dog Parks: 197<br/>Parks per 100k: 0.48<br/>Global Rank: 41 / 96<br/>Percentile: 58.3%<br/>Tier: Low Tier
