name,latitude,longitude,city,country,data_source,osm_id
Kinnear Dog Park,47.626935,-122.3676761,Seattle,USA,OpenStreetMap,633523734
Denny Substation Dog Park,47.6191148,-122.3326644,Seattle,USA,OpenStreetMap,772562341
Dog Yard Bar,47.6639174,-122.3781636,Seattle,USA,OpenStreetMap,909788856
Construction Site Dog Park,47.6082518,-122.3034362,Seattle,USA,OpenStreetMap,1257534309
Growlerz Seattle,47.5540051,-122.2816213,Seattle,USA,OpenStreetMap,1357066520
Carleton Court Dog Park,42.3453214,-71.0787503,Boston,USA,OpenStreetMap,7857858749
Park-9 Dog Bar,42.4078982,-71.0647149,Boston,USA,OpenStreetMap,12181127234
Park-9 Dog Bar,42.4077389,-71.0647575,Boston,USA,OpenStreetMap,29568255
Dog Park 29834883,42.405257,-71.0526382,Boston,USA,OpenStreetMap,29834883
Beecher St Play Area,42.3181807,-71.1068863,Boston,USA,OpenStreetMap,29837081
Zero New Washington St Dog Park,42.3800484,-71.0823789,Boston,USA,OpenStreetMap,133528401
Nunziato Field Dog Park,42.3829496,-71.0987542,Boston,USA,OpenStreetMap,133532399
Pacific Street Dog Park,42.3606681,-71.1038153,Boston,USA,OpenStreetMap,133534919
Joe Wex Dog Recreation Space,42.3426434,-71.0676394,Boston,USA,OpenStreetMap,133535657
Mansfield Dog Park,42.3569047,-71.1306771,Boston,USA,OpenStreetMap,257042458
Bremen Street Dog Park,42.3725114,-71.0340882,Boston,USA,OpenStreetMap,399656881
Paws N Play Dog Park,42.4214282,-71.0267964,Boston,USA,OpenStreetMap,557154553
Pemberton Street Dog Run,42.3900682,-71.1283978,Boston,USA,OpenStreetMap,594371747
Lincoln Park Off-Leash Area,42.378258,-71.1012638,Boston,USA,OpenStreetMap,648600795
Dog Park 653381630,42.3537916,-71.0651671,Boston,USA,OpenStreetMap,653381630
Dog Park 653381631,42.3549559,-71.065668,Boston,USA,OpenStreetMap,653381631
Dog Park 667956545,42.4100338,-71.0482393,Boston,USA,OpenStreetMap,667956545
Dog Park 699582637,42.3870216,-71.0456051,Boston,USA,OpenStreetMap,699582637
Dog Park 733432535,42.3668113,-71.081243,Boston,USA,OpenStreetMap,733432535
Dog Park 748822176,42.3687683,-71.042051,Boston,USA,OpenStreetMap,748822176
Dog Park 813710228,42.3661155,-71.0397497,Boston,USA,OpenStreetMap,813710228
East First Street Dog Park,42.3384022,-71.0316724,Boston,USA,OpenStreetMap,814434935
Dog Park 815553772,42.3630096,-71.0536015,Boston,USA,OpenStreetMap,815553772
Dog Park 846599905,42.3557549,-71.0672077,Boston,USA,OpenStreetMap,846599905
Dog Park 852229149,42.3447565,-71.0627406,Boston,USA,OpenStreetMap,852229149
Dog Park 852229150,42.344722,-71.0625814,Boston,USA,OpenStreetMap,852229150
Dog Park 857582183,42.3495131,-71.0662791,Boston,USA,OpenStreetMap,857582183
Puddingstone Dog Park,42.3320085,-71.1036903,Boston,USA,OpenStreetMap,972947315
Dog Park 1001791943,42.3220751,-71.1103039,Boston,USA,OpenStreetMap,1001791943
Dog Park 1054202045,42.4105461,-71.0999556,Boston,USA,OpenStreetMap,1054202045
Dog Park 1054202046,42.4101335,-71.1000396,Boston,USA,OpenStreetMap,1054202046
Dog Park @ The Track,42.3921061,-71.0004558,Boston,USA,OpenStreetMap,1107428706
Child Street Dog Park,42.3716637,-71.0723642,Boston,USA,OpenStreetMap,1153087746
Dog Park 1195445839,42.3949827,-71.0776526,Boston,USA,OpenStreetMap,1195445839
Dog Park 1197235265,42.3734001,-71.079583,Boston,USA,OpenStreetMap,1197235265
Dog Park 1215634617,42.3931507,-71.1070372,Boston,USA,OpenStreetMap,1215634617
Dog Park 1215881075,42.3665605,-71.1311793,Boston,USA,OpenStreetMap,1215881075
Amory Playground Green Dog Park,42.3461374,-71.1130941,Boston,USA,OpenStreetMap,1226583832
RUFF North End,42.3668403,-71.0567943,Boston,USA,OpenStreetMap,1303502584
Dog Park 1313389567,42.4017456,-71.1100071,Boston,USA,OpenStreetMap,1313389567
Park-9 @ The Station,42.3430084,-71.1019407,Boston,USA,OpenStreetMap,1313554459
Dog Park 1316975922,42.3664411,-71.0889724,Boston,USA,OpenStreetMap,1316975922
Fitzhenry Square Dog Park,42.4061496,-70.9952968,Boston,USA,OpenStreetMap,1343523057
Dog Park 1362680268,42.399654,-71.0452465,Boston,USA,OpenStreetMap,1362680268
Dog Park 1363177699,42.4015118,-71.0536016,Boston,USA,OpenStreetMap,1363177699
Station Landing Dog Park,42.401116,-71.081524,Boston,USA,OpenStreetMap,1378110041
Bay Village Dog Park,42.3497811,-71.0662657,Boston,USA,OpenStreetMap,1396723811
Dog Park @ The Yard,42.3980929,-70.9939046,Boston,USA,OpenStreetMap,1412390775
Dog Park 1463028941,42.3798919,-71.0719864,Boston,USA,OpenStreetMap,1463028941
