name,latitude,longitude,city,country,data_source,confidence_score,osm_id
Park-9 Dog Bar,42.4078982,-71.0647149,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,12181127234
Park-9 Dog Bar,42.4077389,-71.0647575,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,29568255
Dog Park 29834883,42.405257,-71.0526382,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,29834883
Beecher St Play Area,42.3181807,-71.1068863,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,29837081
Zero New Washington St Dog Park,42.3800484,-71.0823789,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,133528401
Nunziato Field Dog Park,42.3829496,-71.0987542,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,133532399
Pacific Street Dog Park,42.3606681,-71.1038153,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,133534919
Joe Wex Dog Recreation Space,42.3426434,-71.0676394,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,133535657
Mansfield Dog Park,42.3569047,-71.1306771,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,257042458
Bremen Street Dog Park,42.3725114,-71.0340882,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,399656881
Paws N Play Dog Park,42.4214282,-71.0267964,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,557154553
Pemberton Street Dog Run,42.3900682,-71.1283978,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,594371747
Lincoln Park Off-Leash Area,42.378258,-71.1012638,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,648600795
Dog Park 653381630,42.3537916,-71.0651671,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,653381630
Dog Park 653381631,42.3549559,-71.065668,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,653381631
Dog Park 667956545,42.4100338,-71.0482393,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,667956545
Dog Park 699582637,42.3870216,-71.0456051,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,699582637
Dog Park 733432535,42.3668113,-71.081243,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,733432535
Dog Park 748822176,42.3687683,-71.042051,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,748822176
Dog Park 813710228,42.3661155,-71.0397497,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,813710228
East First Street Dog Park,42.3384022,-71.0316724,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,814434935
Dog Park 815553772,42.3630096,-71.0536015,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,815553772
Dog Park 846599905,42.3557549,-71.0672077,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,846599905
Dog Park 852229149,42.3447565,-71.0627406,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,852229149
Dog Park 852229150,42.344722,-71.0625814,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,852229150
Dog Park 857582183,42.3495131,-71.0662791,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,857582183
Puddingstone Dog Park,42.3320085,-71.1036903,Boston,USA,OpenStreetMap (leisure=dog_park),0.85,972947315
